id,college_name,college_city,college_state
9516,"SDM College of Dental Sciences, Dharwad",Dharwad,Karnataka
9517,"SET College of Pharmacy, Dharwad",Dharwad,Karnataka
9518,"Dakshin Bharat Hind Prachar Sabha Dr B D Jatti Homeopathic Medical College and Hospital, Dharwad",Dharwad,Karnataka
9519,"Sonia Education Trust College of Pharmacy, Rajatagiri, Dharwad",Dharwad,Karnataka
9520,"SRJVG Arts & Commerce College, Shiggaon",Dharwad,Karnataka
9521,"Shree Sharana Noolvi Chandayya Dr BR Ambedkar SmarakA First Grade Arts and Commerce College, Hubli",Dharwad,Karnataka
9522,"KSS Vijayanagar College of Education, Hubli",Dharwad,Karnataka
9523,"KLE Societys SK Arts & HSK Science Institute, Hubli",Dharwad,Karnataka
9524,"KLE Societys College of Business Administration, Vidyanagar, Hubli",Dharwad,Karnataka
9525,"KLE Societys Education College, Hubli",Dharwad,Karnataka
9526,"Karnataka Institute of Medical Sciences, Hubballi",Dharwad,Karnataka
9527,"Govt. Ist Grade College, Alnawar",Dharwad,Karnataka
9528,"Govt. First Grade College, Bankapur",Dharwad,Karnataka
9529,"Indian Institute of Information Technology (IIIT), Dharwad",Dharwad,Karnataka
9530,"Indian Institute of Technology (IIT), Dharwad",Dharwad,Karnataka
9531,"Dr D Veerendra Heggade Institute of Management Studies & Research (DVHIMSR), Dharwad",Dharwad,Karnataka
9532,"Adept Institute of Management Studies & Research (AIMSR), Dharwad",Dharwad,Karnataka
9533,"MVAS Shree K.G.Nadgir College, of Physical Education, Dharwad",Dharwad,Karnataka
9534,"Karnatak Homeo Medical College, Hubli",Dharwad,Karnataka
9535,"K. L. E. Society?s Mrityunjaya Arts & Commerce College, Dharwad",Dharwad,Karnataka
9536,"NTS Samitis Shri Shankar Arts & Commerce College, Navalgund",Dharwad,Karnataka
9537,"Hurakadli Ajja Law College, Dharwad",Dharwad,Karnataka
9538,"Kittel Science College, Dharwad",Dharwad,Karnataka
9539,"Karnatak Arts College, Dharwad",Dharwad,Karnataka
9540,"K. L. E. Society?s Gurusiddappa Kotambri Law College Vidyanagar, Hubli",Dharwad,Karnataka
9541,"K. L. E. Society?s Jagadguru Gangadhar College ofCommerce, Hubli",Dharwad,Karnataka
9542,"JSS Banashankari Arts, Commerce & S.K.Gubbi Science College, Dharwad",Dharwad,Karnataka
9543,"JSS Sakri Law College, Hubli",Dharwad,Karnataka
9544,"Government First Grade College, Dharwad",Dharwad,Karnataka
9545,"BMHEC's CSI College of Commerce, Dharwad",Dharwad,Karnataka
9546,"Kittel Arts College, Dharwad",Dharwad,Karnataka
9547,"Anjuman Arts & Commerce College, Dharwad",Dharwad,Karnataka
9548,"Shri Dharmasthala Manjunatheshwara College of Engineering and Technology, Dharwad",Dharwad,Karnataka
9549,"JSS K H Kabbur Institute Of Engineering, Dharwad",Dharwad,Karnataka
9550,"Shiva Bharathi Trusts International Institute For Advanced Studies, Dharwad",Dharwad,Karnataka
9551,"Suvarna Arts And Commerce College, Dharwad",Dharwad,Karnataka
9552,"SJM institute of Fashion Technology, Dharwad",Dharwad,Karnataka
9553,"CIC Arts & Commerce College, Adargunchi",Dharwad,Karnataka
9554,"Basavareddy Arts And Commerce College, Dharwad",Dharwad,Karnataka
9555,"Pragati Foundations Mahatma Gandhi BSW College, Dharwad",Dharwad,Karnataka
9556,"Shri Jagadguru Renukacharya Education College, Noolvi",Dharwad,Karnataka
9557,"Siddhartha Institute of Management Studies (BBA), Dharwad",Dharwad,Karnataka
9558,"Dharwad College Of Management (BBA), Dharwad",Dharwad,Karnataka
9559,"Shri GS Akkihal College Of Commerce (B Com), Dharwad",Dharwad,Karnataka
9560,"Siddharth Institute of Management Studies (BBA), Dharwad",Dharwad,Karnataka
9561,"Shri Shankar BCA College, Navalgund",Dharwad,Karnataka
9562,"Vidhya Sarswati Foundation Cim Grad BBA College, Sarswatpur",Dharwad,Karnataka
9563,"Vivekanand Vidhyapeeth Trinity BBA College, Dharwad",Dharwad,Karnataka
9564,"Shree Basaveshwar BBA College, Sattur",Dharwad,Karnataka
9565,"Shri Mrityunjay College, Dharwad",Dharwad,Karnataka
9566,"JSS Sri Manjunatheshwara College of Education, Dharwad",Dharwad,Karnataka
9567,"Dakshin Bharat Hindi Prachar Sabha BCA College, Dharwad",Dharwad,Karnataka
9568,"Dakshin Bharat Hindi Prachar Sabha BBA College, Dharwad",Dharwad,Karnataka
9569,"Government First Grade College, Annigeri",Dharwad,Karnataka
9570,"RS Shetty College of Business Administration (BBA), Dharwad",Dharwad,Karnataka
9571,"Rukmini Shetty Memorial Sudhakar Shetty BCA College, Dharwad",Dharwad,Karnataka
9572,"R S Shetty College of Commerce (B Com), Dharwad",Dharwad,Karnataka
9573,"RS Shetty College of Commerce B Com (CS), Dharwad",Dharwad,Karnataka
9574,"Basavareddy Education Societys BCA College, Dharwad",Dharwad,Karnataka
9575,"Basavareddy BBA College, Dharwad",Dharwad,Karnataka
9576,"Adept Business College, Dharwad",Dharwad,Karnataka
9577,"Government First Grade College, Navalgund",Dharwad,Karnataka
9578,"Government First Grade College, Kalghatgi",Dharwad,Karnataka
9579,"Government First Grade College, Kundgol",Dharwad,Karnataka
9580,"Rural B Ed College, Sattur",Dharwad,Karnataka
9581,"VH Marad M Ed College, Sattur",Dharwad,Karnataka
9582,"Soniya Education Trusts College of Education (B Ed), Dharwad",Dharwad,Karnataka
9583,"Siddharameshwar College of Education, Dharwad",Dharwad,Karnataka
9584,"Rajiv Gandhi Education Societys BBA & BCA College, Dharwad",Dharwad,Karnataka
9585,"KE Boards First Grade Arts & Commerce College, Dharwad",Dharwad,Karnataka
9586,"St Josephs BSW College, Dharwad",Dharwad,Karnataka
9587,"Government Fine Arts College, Dharwad",Dharwad,Karnataka
9588,"Anjuman Institute of Information Science and Management (AIISM), Dharwad",Dharwad,Karnataka
9589,"Sharana Nooliya Chandayya Dr BR Ambedkar Smaraka Akk Education Societys Arts And Commerce College, Gangadharnagar",Dharwad,Karnataka
9590,"Government First Grade College, Alnavar",Dharwad,Karnataka
9591,"Government First Grade College, Gudgeri",Dharwad,Karnataka
9592,"SJMV Mahant First Grade Arts & Commerce College, Dharwad",Dharwad,Karnataka
9593,"Shree Dharmastala Manjunatheswara college of Engg and Technology, Dharwad",Dharwad,Karnataka
9594,"K. L. E. Society?s P. C. Jabin's Science College, Hubli",Dharwad,Karnataka
9595,"Jagadguru Gangadhar College of Commerce, Vidyanagar, Hubli",Dharwad,Karnataka
9596,"Sri Sathya Sai College Of Homoeopathic Medical Science, Dharwad",Dharwad,Karnataka
9597,"Mahaganapati Ayurvedic Medical College, Dharwad",Dharwad,Karnataka
9598,"Rajiv Gandhi Siksha Snathak College, Dharwad",Dharwad,Karnataka
9599,"College of Agriculture and Regional Research Station, Dharwad",Dharwad,Karnataka
9600,"Shree Mahalaxmi Arts & Commerce College, Dharwad",Dharwad,Karnataka
9601,"Shree Satya Sai Women's Home Science College, Dharwad",Dharwad,Karnataka
9602,"SJMV Ars & Commerce College, Hubli",Dharwad,Karnataka
9603,"Srujanakala Fine Arts College, Dharwad",Dharwad,Karnataka
9604,"ASS Amruteshwar Arts & Commerce College, Annigeri,",Dharwad,Karnataka
9605,"GES's Arts & Commerce College, Kundagol",Dharwad,Karnataka
9606,"GNWS's Arts Commerce College, Kalaghatagi",Dharwad,Karnataka
9607,"Govt. Ist Grade College, Gudigeri",Dharwad,Karnataka
9608,"Govt. Ist Grade College, Savanur",Dharwad,Karnataka
9609,"HASS Ayurved College, Hubli",Dharwad,Karnataka
9610,"HASS K.S.Jigalur Arts & Commerce College, Dharwad",Dharwad,Karnataka
9611,"Indian Institute of Inspirational Leadership, Koppa Tank, Dharwad",Dharwad,Karnataka
9612,"Kannada Kiran Samstha's (Gadag-Betageri's) BSW College, Hubli",Dharwad,Karnataka
9613,"Karnakadas S.S's Ist Grade College, Hubli",Dharwad,Karnataka
9614,"KPES Law College, Dharwad",Dharwad,Karnataka
9615,"R. N. Shetty college of Hotel Management & Catering Technology, Hubli",Dharwad,Karnataka
9616,"Anjuman BBA College, Dharwad",Dharwad,Karnataka
9617,Other,Dharwad,Karnataka
9618,"Government First Grade College, Mundgod",Mundgod,Karnataka
9619,Other,Mundgod,Karnataka
9620,"Sri Taralabalu Jagadguru Institute of Technology, Ranebennur",Ranebennur,Karnataka
9621,"GMH Shree Rajarajeswari Arts & Commerce College, Ranebennur",Ranebennur,Karnataka
9622,Other,Ranebennur,Karnataka
9623,"AGM Rural College Of Engineering & Technology, Hubli",Hubli,Karnataka
9624,"KLE Institute Of Technology, Hubli, Karnataka",Hubli,Karnataka
9625,"KLE Societys College of Pharmacy, Hubli",Hubli,Karnataka
9626,"KLE College of Pharmacy, Hubli",Hubli,Karnataka
9627,"BV Bhoomaraddi College Of Engineering And Technology, Hubli",Hubli,Karnataka
9628,"K L E Society's College of Pharmacy, Hubli",Hubli,Karnataka
9629,"College of Pharmacy, Hubli",Hubli,Karnataka
9630,"S Nijalingappa Medical College & Hangal,Bagalkot",Hubli,Karnataka
9631,"B.V. Bhoomraddi College of Engineering & Technology (BVBCET), Hubli",Hubli,Karnataka
9632,"RN Shetty College Of Hotel Management, Hubli",Hubli,Karnataka
9633,"Vidya Bharati Foundation IBMR BBA College, Hubli",Hubli,Karnataka
9634,"Institute Of Excellence In Management Science, Tarihal",Hubli,Karnataka
9635,"Global Business School (GBS), Hubli",Hubli,Karnataka
9636,"Al-Falah College of Pharmacy,Hubli",Hubli,Karnataka
9637,"PC Jabin Science College, Hubli",Hubli,Karnataka
9638,"Ayurved Mahavidyalay,Hubli",Hubli,Karnataka
9639,"KLE Societys College of Education, Hubli",Hubli,Karnataka
9640,"Anjuman-A-islam Nehru Arts, Science College, Hubli",Hubli,Karnataka
9641,"MSME Development Institute (DI), Hubli",Hubli,Karnataka
9642,"Tippu Shaheed Institute of Technology Polytechnic, Hubli",Hubli,Karnataka
9643,"Sana Commerce College, Hubli",Hubli,Karnataka
9644,"Chetan Business School (CBS), Hubli",Hubli,Karnataka
9645,"SSK Arts & Commerce College, Hubli",Hubli,Karnataka
9646,"K H Patil Commerce College, Hubli",Hubli,Karnataka
9647,"JSS Shri Manjunatheshwara Commerce College, Heggeri",Hubli,Karnataka
9648,"Rotary College Of Commerce, Hubli",Hubli,Karnataka
9649,"J K College of Commerce, Hubli",Hubli,Karnataka
9650,"Fatima College Of Commerce, Keshwapur",Hubli,Karnataka
9651,"Maharani Art & Commerce College, Hubli",Hubli,Karnataka
9652,"Dr Sarojini BSW College, Hubli",Hubli,Karnataka
9653,"Shri Sai Physical College, Navanagar",Hubli,Karnataka
9654,"Jain College, Hubli",Hubli,Karnataka
9655,"JK Education Society BBA College, Hubli",Hubli,Karnataka
9656,"GK Education Society GK BCA College, Hubli",Hubli,Karnataka
9657,"Sidu Vidya Sansthe Nalanda BCA College, Vidyaranya",Hubli,Karnataka
9658,"Gyana Sanskar Bharati Educational Trusts BCA College, Hubli",Hubli,Karnataka
9659,"Fatima BBA College, Keshwapur",Hubli,Karnataka
9660,"Global College Of Computer Application, Hubli",Hubli,Karnataka
9661,"Nitisha Lahari Societys College of Computer Applications, Hubli",Hubli,Karnataka
9662,"Oxford College, Hubli",Hubli,Karnataka
9663,"Oxford College of Computer Applications, Keshwapur",Hubli,Karnataka
9664,"Oxford College of Commerce, Keshwapur",Hubli,Karnataka
9665,"Sana College Of Education, Shantiniketan",Hubli,Karnataka
9666,"Anjuman Centenary B Ed College, Hubli",Hubli,Karnataka
9667,"Sana College Of Information Science And Management, Shantiniketan",Hubli,Karnataka
9668,"SJMVS Arts And Commerce College, Hubli",Hubli,Karnataka
9669,"Dr K S Sharma College Of Computer Application, Hubli",Hubli,Karnataka
9670,"KSSs B S W College, Hubli",Hubli,Karnataka
9671,"KLESs College of Business Administration, Hubli",Hubli,Karnataka
9672,"KSS Arts And Commerce College, Hubli",Hubli,Karnataka
9673,"KLE Societys Institute of Manageent Studies & Research (IMSR), Hubli",Hubli,Karnataka
9674,"Kless Sri Kaddasiddeshwar Arts And HSK Science Institute, Hubli",Hubli,Karnataka
9675,"KLES JG College of Commerce, Hubli",Hubli,Karnataka
9676,"Karnataka Institute of Medical Sciences, Hubli",Hubli,Karnataka
9677,"KSLUs Law School, Hubli",Hubli,Karnataka
9678,"Inter National Institute of Fashion Design (INIFD), Hubli",Hubli,Karnataka
9679,"GSB School Of Business Management & IT Campus, Hubli",Hubli,Karnataka
9680,"SJMV Womens BBA College, Hubli",Hubli,Karnataka
9681,"SJMVS's Arts, Commerce College for Women, Hubli",Hubli,Karnataka
9682,"Veman Vidyavardhaka Sangha's College of Business Administration, Hubli",Hubli,Karnataka
9683,"Babasaheb Ambedkar ist Grade Arts College, Navanagar, Hubli",Hubli,Karnataka
9684,"BVVS Karnatak Christian Arts College, Hubli",Hubli,Karnataka
9685,"Anjuman-E-Islam's Anjuman Arts College for Women, Koul Peth, Hubli",Hubli,Karnataka
9686,Other,Hubli,Karnataka
9687,"Sri Dhanwantari Ayurveda College,Siddapur",Siddapur,Karnataka
9688,Other,Siddapur,Karnataka
9689,"Goretti College of Commerce & Management, Karkala",Ullal,Karnataka
9690,Other,Ullal,Karnataka
9691,"MESs College of Commerce , Sirsi",Sirsi,Karnataka
9692,"MES's Law College, Sirsi",Sirsi,Karnataka
9693,"College of Horticulture, Sirsi",Sirsi,Karnataka
9694,"Modern Education Societys Law College, Sirsi",Sirsi,Karnataka
9695,Other,Sirsi,Karnataka
9696,"Lingaraj Appa Engineering College, Bidar",Bidar,Karnataka
9697,"Guru Nanak Dev Engineering College, Bidar",Bidar,Karnataka
9698,"Sri Veerabhadreshwar Education Trusts College of Pharmacy, Humnabad",Bidar,Karnataka
9699,"S V E T S College of Pharmacy, Bidar",Bidar,Karnataka
9700,"Bheemanna Khandre Institute Of Technology, Bidar",Bidar,Karnataka
9701,"Ambedkar Tatwa Education Societys Kote B Sc Biotechnology College, Bidar",Bidar,Karnataka
9702,"GND Degree College, Bidar",Bidar,Karnataka
9703,"B V Bhoomareddi College of Arts Science & Commerce, Bidar",Bidar,Karnataka
9704,"Bidar Vidya Kendar,Bidar",Bidar,Karnataka
9705,"Shantiniketan College of Physiotherapy, Bidar",Bidar,Karnataka
9706,"K L E Society's College of Pharmacy,Bidar",Bidar,Karnataka
9707,"K R E Society's Karnataka College of Pharmacy,Bidar",Bidar,Karnataka
9708,"R R K Society College of Pharmacy,Bidar",Bidar,Karnataka
9709,"Rural Engineering College, Bhalki",Bidar,Karnataka
9710,"Basavakalyan Engineering College, Bidar",Bidar,Karnataka
9711,"S B C & S V College, Humnabad",Bidar,Karnataka
9712,"Rural B Ed College, Aurad",Bidar,Karnataka
9713,"Channbasaveshwar College of Arts Science and Commerce, Bhalki",Bidar,Karnataka
9714,"Siddarameshwar College, Kamalnagar",Bidar,Karnataka
9715,"Shri Channabasaveshwara Arts Science & Commerce College, Bhalki",Bidar,Karnataka
9716,"Akka Mahadevi Mahila Mahavidyalaya, Bidar",Bidar,Karnataka
9717,"BV Bhoomaraddi College of Arts Science and Commerce, Bidar",Bidar,Karnataka
9718,"Basaveshwar College of Education, Bidar",Bidar,Karnataka
9719,"Halappa Kote B Ed College, Bidar",Bidar,Karnataka
9720,"SVEs D Ed College, Aurad",Bidar,Karnataka
9721,"Industrial Training Centre (ITC), Bhalki",Bidar,Karnataka
9722,"Industrial Training Centre (ITC), Bidar",Bidar,Karnataka
9723,"SS Degree College, Kamalnagar",Bidar,Karnataka
9724,"SVEs D Ed College, Kanada",Bidar,Karnataka
9725,"SVEs D Ed College, Maharati",Bidar,Karnataka
9726,"SVEs D Ed College, Bidar",Bidar,Karnataka
9727,"SVEs D Ed College, Kamalnagar",Bidar,Karnataka
9728,"Haraliah Polytechnic, Bhalki",Bidar,Karnataka
9729,"Nittur Polytechnic, Bidar",Bidar,Karnataka
9730,"C A S S M Trust's Ayurvedic Medical College,Bidar",Bidar,Karnataka
9731,"AIMES College, Bidar",Bidar,Karnataka
9732,"BVB College, Bidar",Bidar,Karnataka
9733,"HKE Societys M Sc Computer Science BVB College Campus, Bidar",Bidar,Karnataka
9734,"Karnataka College, Bidar",Bidar,Karnataka
9735,"Dr BR Ambedkar BPEd College, Humanabad",Bidar,Karnataka
9736,"Jai Jyothi Education Societys College of Physical Education, Bidar",Bidar,Karnataka
9737,"Smt Indira Priyadarshini Law College, Basavakalyan",Bidar,Karnataka
9738,"HKDET M Ed PG Course, Humnabad",Bidar,Karnataka
9739,"Noor Education Trusts M Ed PG Course, Bidar",Bidar,Karnataka
9740,"Doddappa Appa College of Education, Basavakalyan",Bidar,Karnataka
9741,"Goutham B Ed College, Bidar",Bidar,Karnataka
9742,"Guru Nanak College of Education, Bidar",Bidar,Karnataka
9743,"HKDE Trusts College of Education, Humnabad",Bidar,Karnataka
9744,"Indian College of Education, Chidri",Bidar,Karnataka
9745,"Indira Priyadarshini College of Education, Basavakalyan",Bidar,Karnataka
9746,"Jasmine College of Education, Bidar",Bidar,Karnataka
9747,"Karnataka College of Education, Bidar",Bidar,Karnataka
9748,"Noor College of Education, Haladkeri",Bidar,Karnataka
9749,"Shantivardhak College of Education, Bidar",Bidar,Karnataka
9750,"CMM B Ed College, Basavakalyan",Bidar,Karnataka
9751,"Smt Laxmibai Kamthane College of Education, Bidar",Bidar,Karnataka
9752,"Sri Dattagiri Maharaj Educatioon Societys Sri Dattagiri College of Education, Bidar",Bidar,Karnataka
9753,"Vidhyavikas Trusts Govidnrao Moole MULEY College of Education, Bidar",Bidar,Karnataka
9754,"Rajiv Gandhi College of Education, Bidar",Bidar,Karnataka
9755,"Karnataka Education Society Global B Ed College, Bidar",Bidar,Karnataka
9756,"Manjeera College of Education, Bidar",Bidar,Karnataka
9757,"Roohi M Ed College, Bidar",Bidar,Karnataka
9758,"Sidhartha College Of Education, Bhalki",Bidar,Karnataka
9759,"Sri Satyam College, Bidar",Bidar,Karnataka
9760,"Sri Siddaganga Computer Application Degree College, Humnabad",Bidar,Karnataka
9761,"Sri Amareshwar College, Aurad",Bidar,Karnataka
9762,"Sri Rajeev Gandhi FG College of Arts Science College, Basavakalyan",Bidar,Karnataka
9763,"SSKB College, Basavakalyan",Bidar,Karnataka
9764,"Sri Guru Ayyappa Swamy First Grade College, Chitguppa",Bidar,Karnataka
9765,"Vaishnavi BCA Degree College, Bidar",Bidar,Karnataka
9766,"Vidya Vignana Degree College, Bidar",Bidar,Karnataka
9767,"Vishal BCA College, Aurad",Bidar,Karnataka
9768,"Sarvodaya Degree College, Humnabad",Bidar,Karnataka
9769,"Imperial First Grade College, Bidar",Bidar,Karnataka
9770,"Sri Sainath Commerce College, Bidar",Bidar,Karnataka
9771,"V K International Arts College, Bidar",Bidar,Karnataka
9772,"Saraswathi BCA Degree College, Basavakalyan",Bidar,Karnataka
9773,"Shree Guru Prasanna Degree College, Bhalki",Bidar,Karnataka
9774,"Anjanadevi B Ed College, Humnabad",Bidar,Karnataka
9775,"Bidar Vidya Kendra Shantiniketan College of Education, Chidri",Bidar,Karnataka
9776,"Kaviratna Kalidas College, Bidar",Bidar,Karnataka
9777,"KKET College of Business Management, Bidar",Bidar,Karnataka
9778,"KREs Science College, Chitaguppa",Bidar,Karnataka
9779,"Methodist College, Bidar",Bidar,Karnataka
9780,"Renuka First Grade College, Bidar",Bidar,Karnataka
9781,"RRK Samitis College, Bidar",Bidar,Karnataka
9782,"SBC Arts and SV Science College, Humnabad",Bidar,Karnataka
9783,"Sharanbasaveshwar College of BBM, Basavakalyan",Bidar,Karnataka
9784,"Siddharth College of Arts & Commerce, Bidar",Bidar,Karnataka
9785,"Smt Bimbabai Bhimrao Kalavade College, Bidar",Bidar,Karnataka
9786,"Smt Vasanta BCA College, Bidar",Bidar,Karnataka
9787,"Sri Manikprabhu College, Humnabad",Bidar,Karnataka
9788,"Sri Om Siddhi Vinayaka College of BCA, Bidar",Bidar,Karnataka
9789,"Government First Grade College, Humnabad",Bidar,Karnataka
9790,"Government First Grade College, Manahalli",Bidar,Karnataka
9791,"Federal Government Girls College, Bida",Bidar,Karnataka
9792,"Jijamaata BCA Degree College, Basavakalyan",Bidar,Karnataka
9793,"Karnataka College, Bida",Bidar,Karnataka
9794,"Government First Grade College, Basavakalyan",Bidar,Karnataka
9795,"Government First Grade College, Bhalki",Bidar,Karnataka
9796,"Government First Grade College, Chitaguppa",Bidar,Karnataka
9797,"Government First Grade College, Hulsur",Bidar,Karnataka
9798,"Al Ameen Degree College, Bidar",Bidar,Karnataka
9799,"Bodhivraksha Arts Degree College, Humnabad",Bidar,Karnataka
9800,"CES First Grade College, Manaekhelli",Bidar,Karnataka
9801,"Chatrapati Shivaji Maharaj Arts & Science First Grade College, Bhalki",Bidar,Karnataka
9802,"Doddappa Appa College of BCA, Basavakalyan",Bidar,Karnataka
9803,"Dr Ambedkar Tatava Education Trusts B Sc College, Bidar",Bidar,Karnataka
9804,"Dr B R Ambedkar College, Hallikhed",Bidar,Karnataka
9805,"Dr B R Ambedkar College, Bidar",Bidar,Karnataka
9806,"Government First Grade College, Aurad",Bidar,Karnataka
9807,"RV Bidap Law College, Bidar",Bidar,Karnataka
9808,"Smt Indira Law College, Bidar",Bidar,Karnataka
9809,"Shri Mahadevappa Gaddagi Law College, Bidar",Bidar,Karnataka
9810,"NK Jabshetty Ayurvedic Medical College, Bidar",Bidar,Karnataka
9811,"Bidar Vidya Kendar Shanthiniketan,Chidri Bidar",Bidar,Karnataka
9812,"Akkamahadevi School of Nursing, Bidar",Bidar,Karnataka
9813,"Bidar Institute of Medical Sciences, Bidar",Bidar,Karnataka
9814,"Veterinary College, Bidar",Bidar,Karnataka
9815,"College of Horticulture, Bidar",Bidar,Karnataka
9816,"SYE Societys Sri Siddalingeshwar College of Pharmacy, Bidar",Bidar,Karnataka
9817,"Vidya Vikas Trusts College of Pharmacy, Bidar",Bidar,Karnataka
9818,"RRK Samithis College of Pharmacy, Bidar",Bidar,Karnataka
9819,"KRE Societys Madanmohan Harish Chandra Goel Institute of Pharmacy, Bidar",Bidar,Karnataka
9820,"Basaveshwara College of Pharmacy, Bidar",Bidar,Karnataka
9821,"SVE Rural Engineering College, Bidar",Bidar,Karnataka
9822,"Smt Saraswati Gurumadappa Nagamarapalli College of Nursing, Bidar",Bidar,Karnataka
9823,Other,Bidar,Karnataka
9824,"A L N Rao Memorial Ayurvedic Medical College,Kappa",Kappa,Karnataka
9825,"College of Horticulture, Koppal",Kappa,Karnataka
9826,Other,Kappa,Karnataka
9827,"BVV Sanghas Hangal Sri Kumareshwara College of Pharmacy, Bagalkot",Bagalkot,Karnataka
9828,"B V V Sangha's Hanagal Kumareshwar College of Pharmacy, Bagalkot",Bagalkot,Karnataka
9829,"Basaveshwar Ayurvedic Medical College, Bagalkot",Bagalkot,Karnataka
9830,"SCP Arts & DDS Commerce College, Mahalingapur",Bagalkot,Karnataka
9831,"Sri Kalidas Education Society BSN College, Badami",Bagalkot,Karnataka
9832,"Basaveshwar Engineering College, Bagalkot",Bagalkot,Karnataka
9833,"Basaveshwar Commerce College, Bagalkot",Bagalkot,Karnataka
9834,"Noorie College of Pharmacy,Bangarpet",Bagalkot,Karnataka
9835,"VMSR Vastrad Arts, Science & Vijaya Mahantesh Commerce College, Hungund",Bagalkot,Karnataka
9836,"S. R. Kanthi College of Education, Ilkal",Bagalkot,Karnataka
9837,"Basaveshwar Science College, Bagalkot",Bagalkot,Karnataka
9838,"SVM Arts & Commerce College, for Women, Ilkal",Bagalkot,Karnataka
9839,"Rudragouda Patil Government First Grade college,Bilagi",Bagalkot,Karnataka
9840,"Basaveshwar Arts College, Bagalkot",Bagalkot,Karnataka
9841,"B. V. V. Sangha's S.C.Nandimath Law College ,Bagalkot",Bagalkot,Karnataka
9842,"BVVS's Arts & Commerce College, Mudhol",Bagalkot,Karnataka
9843,"BVVS's Basaveshwar College of Physical Education, Bagalkot",Bagalkot,Karnataka
9844,"Anjuman Arts, Science & Commerce College, Bhatkal",Bagalkot,Karnataka
9845,"Basaveshar Arts College, Bagalkot",Bagalkot,Karnataka
9846,"STC College, Banahatti",Bagalkot,Karnataka
9847,"BVV Sangh Institute Of Management Studies, Bagalkot",Bagalkot,Karnataka
9848,"SVM VV Sanghas Institute Of Management Studies, Ilkal",Bagalkot,Karnataka
9849,"KLEs Shri Channagireshwar Prasadik Arts DD Shirol Commerce College, Bagalkot",Bagalkot,Karnataka
9850,"BLDEAs Law College, Jamakhandi",Bagalkot,Karnataka
9851,"College of Horticulture, Bagalkot",Bagalkot,Karnataka
9852,"VMVV Sangas School of Pharmacy, Hungund",Bagalkot,Karnataka
9853,"Shri B V V Sangha Sajjalashri Institute of Nursing Science College,Bagalkot",Bagalkot,Karnataka
9854,"Sajjalshree Institute of Nursing Sciences,Bagalkot",Bagalkot,Karnataka
9855,"Rabakavi Education Society's Arts, Commerce College, Rabakavi",Bagalkot,Karnataka
9856,"Sri Kalidas Education Samsthe's Arts College, Keroor",Bagalkot,Karnataka
9857,"SVM Arts, Science & Commerce College, Ilkal",Bagalkot,Karnataka
9858,"SVM BBA College, Ilkal",Bagalkot,Karnataka
9859,"VPM's SRM Arts & MBS Commerce College, Bagalkot",Bagalkot,Karnataka
9860,"Adarsh Arts College, Bewoor",Bagalkot,Karnataka
9861,"Shree Siddeshwar Govt. Ist Grade College, Hungund",Bagalkot,Karnataka
9862,Other,Bagalkot,Karnataka
9863,"Adichunchanagiri Institute of Medical Sciences, Mandya",Mandya,Karnataka
9864,"Sri Adichunchanagiri College Of Pharmacy, Mandya",Mandya,Karnataka
9865,"PES College of Science Arts & Commerce, Mandya",Mandya,Karnataka
9866,"PES College of Engineering, Mandya",Mandya,Karnataka
9867,"Bharathi College of Pharmacy, Mandya",Mandya,Karnataka
9868,"Sri Adichunchangiri College of Pharmacy, Mandya",Mandya,Karnataka
9869,"Sri Adichunchanagiri College of Nursing, Mandya",Mandya,Karnataka
9870,"Government College (Autonomous), Mandya",Mandya,Karnataka
9871,"Bharathi First Grade College, Kirugavalu",Mandya,Karnataka
9872,"Bharathi College of Education, Mandya",Mandya,Karnataka
9873,"Shanthi Arts Commerce & Science College, Malavalli",Mandya,Karnataka
9874,"Bharathi College, Mandya",Mandya,Karnataka
9875,"Vijaya Teachers Training College, Pandavapura",Mandya,Karnataka
9876,"Government First Grade College, Mandya",Mandya,Karnataka
9877,"P E S Science Arts & Commerce College, Mandya",Mandya,Karnataka
9878,"Vijaya First Grade College, Pandavapura",Mandya,Karnataka
9879,"Sri Adichunchanagiri College of Arts Commerce & Science, Nagamangala",Mandya,Karnataka
9880,"Shankara Gowda College Of Education, Mandya",Mandya,Karnataka
9881,"Mandavya First Grade College, Mandya",Mandya,Karnataka
9882,"PES Evening College, Mandya",Mandya,Karnataka
9883,"PES Law College, Mandya",Mandya,Karnataka
9884,"Government First Grade College, Koppa",Mandya,Karnataka
9885,"Governament First Grade College, Srirangapatna",Mandya,Karnataka
9886,"Government College for Women, Mandya",Mandya,Karnataka
9887,"Bharathi College of Education (B Ed), Mandya",Mandya,Karnataka
9888,"B E T Polytechnic, Mandya",Mandya,Karnataka
9889,"Bhagawan Buddha College of Education (BBCE), Malavalli",Mandya,Karnataka
9890,"Vijaya College of Education, Pandavapura",Mandya,Karnataka
9891,"Bharathi College of Education (D Ed), Mandya",Mandya,Karnataka
9892,"Sri Shambulingeshwara College of Physical Education (BPEd), Mandya",Mandya,Karnataka
9893,"Sri Shambulingeshwara College of Education (D Ed), Mandya",Mandya,Karnataka
9894,"AET College of Education, Swarnasandra",Mandya,Karnataka
9895,"V M Lingaiah College of Education, Somanahalli",Mandya,Karnataka
9896,"S M Lingappa College of Education, Krishnarajpet",Mandya,Karnataka
